Order ID,State/Province,Region,City,Order Date,Factory,Ship Mode,Sales,Gross Profit,Profit Margin %,Shipping Lead Time (Simulated),Delay Status,Route Efficiency Score,Units,Cost
US-2021-103800-CHO-MIL-31000,Texas,Interior,Houston,2024-01-03,Wicked Choccy's,Standard Class,6.50,4.22,64.92,4,Moderate Delay,Good,2,2.28
US-2021-112326-CHO-TRI-54000,Illinois,Interior,Naperville,2024-01-04,Wicked Choccy's,Standard Class,7.50,4.90,65.33,7,Delayed,Poor,2,2.60
US-2021-112326-CHO-NUT-13000,Illinois,Interior,Naperville,2024-01-04,Lot's O' Nuts,Standard Class,10.47,7.47,71.35,6,Delayed,Average,3,3.00
US-2021-112326-CHO-SCR-58000,Illinois,Interior,Naperville,2024-01-04,Lot's O' Nuts,Standard Class,10.80,7.50,69.44,5,Moderate Delay,Average,3,3.30
US-2021-141817-CHO-TRI-54000,Pennsylvania,Atlantic,Philadelphia,2024-01-05,Wicked Choccy's,Standard Class,11.25,7.35,65.33,5,Moderate Delay,Average,3,3.90
US-2021-167199-CHO-SCR-58000,Kentucky,Gulf,Henderson,2024-01-06,Lot's O' Nuts,Standard Class,32.40,22.50,69.44,7,Delayed,Poor,9,9.90
US-2021-167199-CHO-TRI-54000,Kentucky,Gulf,Henderson,2024-01-06,Wicked Choccy's,Standard Class,7.50,4.90,65.33,4,Moderate Delay,Good,2,2.60
US-2021-106054-CHO-MIL-31000,Georgia,Gulf,Athens,2024-01-06,Wicked Choccy's,First Class,9.75,6.33,64.92,3,On Time,Good,3,3.42
US-2021-167199-CHO-NUT-13000,Kentucky,Gulf,Henderson,2024-01-06,Lot's O' Nuts,Standard Class,6.98,4.98,71.35,4,Moderate Delay,Good,2,2.00
US-2021-167199-CHO-MIL-31000,Kentucky,Gulf,Henderson,2024-01-06,Wicked Choccy's,Standard Class,13.00,8.44,64.92,4,Moderate Delay,Good,4,4.56
US-2021-167199-CHO-MIL-31000,Kentucky,Gulf,Henderson,2024-01-06,Wicked Choccy's,Standard Class,3.25,2.11,64.92,6,Delayed,Average,1,1.14
US-2021-130813-CHO-MIL-31000,California,Pacific,Los Angeles,2024-01-06,Wicked Choccy's,Second Class,9.75,6.33,64.92,5,Moderate Delay,Average,3,3.42
US-2021-167199-CHO-SCR-58000,Kentucky,Gulf,Henderson,2024-01-06,Lot's O' Nuts,Standard Class,14.40,10.00,69.44,6,Delayed,Average,4,4.40
US-2021-167199-CHO-FUD-51000,Kentucky,Gulf,Henderson,2024-01-06,Lot's O' Nuts,Standard Class,7.20,4.80,66.67,7,Delayed,Poor,2,2.40
