State,Total Shipments,Total Sales,Total Profit,Avg Lead Time,Avg Profit Margin %,Delay Rate %,Route Efficiency %,Overall Rank
Ohio,449,6539.09,4257.49,3.93,66.48,24.28,57.91,1
Colorado,173,2421.37,1612.31,4.02,66.38,20.23,58.96,2
California,1937,27183.18,17980.72,4.32,66.57,28.45,50.75,3
Virginia,218,3085.34,2020.02,4.20,65.60,22.94,53.67,4
New York,1092,15164.88,9968.09,4.35,66.31,28.11,48.71,5
Florida,368,4634.53,3093.12,4.30,66.62,28.53,50.82,6
Connecticut,81,973.37,648.83,3.84,65.79,23.46,58.03,7
Texas,952,13024.10,8643.08,4.44,66.62,29.62,48.22,8
Rhode Island,55,791.36,492.24,3.91,64.99,10.91,61.82,9
South Carolina,40,586.37,388.93,3.88,65.47,12.50,67.50,10
Missouri,64,862.28,581.58,4.14,66.82,15.62,54.69,11
Washington,494,6797.37,4482.86,4.42,66.49,31.78,46.56,12
Michigan,249,3285.19,2204.88,4.45,66.98,31.73,49.80,13
Arizona,218,3519.54,2243.68,4.35,66.55,32.11,48.17,13
Pennsylvania,570,7846.75,5103.51,4.48,66.13,31.93,47.19,15
Louisiana,41,518.01,342.65,3.88,65.58,24.39,63.41,15
Minnesota,85,1118.24,750.44,4.44,66.99,27.06,51.76,17
Kentucky,134,1829.15,1208.33,4.47,66.23,28.36,50.00,17
Georgia,178,2626.47,1705.27,4.40,66.54,32.02,48.88,19
Illinois,478,6763.71,4466.17,4.49,66.97,32.43,47.91,20
North Carolina,244,3392.21,2292.21,4.46,67.39,34.02,48.36,21
Manitoba,11,128.50,83.94,3.64,65.31,9.09,63.63,22
Nebraska,37,472.73,320.39,4.22,67.46,27.03,59.46,23
Maryland,100,1392.84,941.10,4.30,66.86,30.00,45.00,24
Alabama,60,984.31,614.61,4.53,64.61,30.00,51.67,25
Massachusetts,130,1761.94,1149.94,4.52,65.55,28.46,44.62,26
Alberta,25,515.92,316.30,4.52,66.40,24.00,56.00,27
Arkansas,56,851.52,560.78,4.50,66.54,23.21,44.64,28
West Virginia,4,63.97,43.89,3.75,67.76,0.00,50.00,29
Oregon,120,1858.35,1212.01,4.68,66.60,32.50,49.17,30
Iowa,30,400.37,269.97,4.53,67.30,26.67,56.67,31
Delaware,92,1296.89,844.05,4.59,65.36,31.52,45.65,32
Indiana,144,1953.08,1309.52,4.71,66.86,34.03,47.92,33
New Hampshire,27,428.27,264.53,4.59,62.21,18.52,44.44,34
Tennessee,180,2344.51,1546.37,4.85,66.20,35.56,40.00,35
New Jersey,128,1563.35,1007.96,4.77,65.52,33.59,40.62,36
Nevada,39,759.46,469.48,4.49,65.26,33.33,43.59,37
Idaho,21,225.25,152.15,4.57,67.70,28.57,47.62,38
Wisconsin,109,1910.03,1212.11,4.80,66.65,41.28,35.78,39
Kansas,23,255.68,174.32,4.35,67.89,30.43,34.79,40
Utah,52,845.61,548.71,4.63,66.74,36.54,40.39,41
Oklahoma,65,867.18,588.44,4.65,67.61,38.46,38.46,42
North Dakota,7,109.66,73.96,4.57,68.14,14.29,42.86,43
New Brunswick,8,172.72,118.72,4.88,68.34,12.50,37.50,44
Ontario,56,791.82,527.80,4.98,66.75,39.29,42.86,45
Mississippi,52,829.18,548.14,4.77,67.29,38.46,32.69,46
Nova Scotia,6,87.50,56.90,4.67,65.06,33.33,50.00,47
New Mexico,37,502.71,335.17,5.03,66.41,32.43,29.73,48
Quebec,49,591.18,377.14,4.94,66.11,40.82,32.65,49
Montana,15,202.11,135.47,4.73,67.20,33.33,20.00,50
South Dakota,10,133.37,91.77,4.90,68.92,40.00,40.00,51
District of Columbia,10,142.25,95.85,5.00,67.15,40.00,40.00,51
Saskatchewan,2,29.25,18.99,5.50,64.92,50.00,50.00,53
British Columbia,22,290.90,198.30,5.41,67.53,45.45,27.27,54
Newfoundland and Labrador,5,133.20,92.50,5.40,69.44,60.00,40.00,55
Maine,7,119.50,80.12,5.43,68.36,57.14,42.86,56
Vermont,11,162.44,109.98,5.91,66.43,72.73,9.09,57
Prince Edward Island,10,130.10,88.66,5.70,68.02,60.00,20.00,58
Wyoming,1,13.96,9.96,6.00,71.35,100.00,0.00,59
