Product Name,Total_Sales,Total_Profit,Shipments,Avg_Lead_Time,Avg_Margin
Wonka Bar - Triple Dazzle Caramel,27648.75,18063.85,1944,4.39,65.33
Wonka Bar -Scrumdiddlyumptious,27028.80,18770.00,1994,4.37,69.44
Wonka Bar - Milk Chocolate,26256.75,17046.69,2074,4.46,64.92
Wonka Bar - Fudge Mallows,24361.20,16240.80,1771,4.44,66.67
Wonka Bar - Nutty Crunch Surprise,22897.89,16336.89,1748,4.36,71.35
Lickable Wallpaper,7860.00,3930.00,94,4.21,50.00
Kazookles,1205.75,92.75,96,4.36,7.69
Wonka Gum,597.50,310.70,120,4.08,52.00
Everlasting Gobstopper,130.00,104.00,3,5.00,80.00
Fizzy Lifting Drinks,78.75,47.25,6,3.83,60.00
Hair Toffee,76.50,59.50,4,3.50,77.78
SweeTARTS,61.50,28.70,10,4.50,46.67
Laffy Taffy,53.73,33.48,10,3.80,62.31
Nerds,15.00,7.00,4,5.50,46.67
Fun Dip,12.00,4.80,3,4.67,40.00
