State/Province,Total_Sales,Total_Profit,Shipments,Avg_Lead_Time,Avg_Margin
California,27183.18,17980.72,1937,4.32,66.57
New York,15164.88,9968.09,1092,4.35,66.31
Texas,13024.10,8643.08,952,4.44,66.62
Pennsylvania,7846.75,5103.51,570,4.48,66.13
Washington,6797.37,4482.86,494,4.42,66.49
Illinois,6763.71,4466.17,478,4.49,66.97
Ohio,6539.09,4257.49,449,3.93,66.48
Florida,4634.53,3093.12,368,4.30,66.62
Arizona,3519.54,2243.68,218,4.35,66.55
North Carolina,3392.21,2292.21,244,4.46,67.39
Michigan,3285.19,2204.88,249,4.45,66.98
Virginia,3085.34,2020.02,218,4.20,65.60
Georgia,2626.47,1705.27,178,4.40,66.54
Colorado,2421.37,1612.31,173,4.02,66.38
Tennessee,2344.51,1546.37,180,4.85,66.20
Indiana,1953.08,1309.52,144,4.71,66.86
Wisconsin,1910.03,1212.11,109,4.80,66.65
Oregon,1858.35,1212.01,120,4.68,66.60
Kentucky,1829.15,1208.33,134,4.47,66.23
Massachusetts,1761.94,1149.94,130,4.52,65.55
New Jersey,1563.35,1007.96,128,4.77,65.52
Maryland,1392.84,941.10,100,4.30,66.86
Delaware,1296.89,844.05,92,4.59,65.36
Minnesota,1118.24,750.44,85,4.44,66.99
Alabama,984.31,614.61,60,4.53,64.61
Connecticut,973.37,648.83,81,3.84,65.79
Oklahoma,867.18,588.44,65,4.65,67.61
Missouri,862.28,581.58,64,4.14,66.82
Arkansas,851.52,560.78,56,4.50,66.54
Utah,845.61,548.71,52,4.63,66.74
Mississippi,829.18,548.14,52,4.77,67.29
Ontario,791.82,527.80,56,4.98,66.75
Rhode Island,791.36,492.24,55,3.91,64.99
Nevada,759.46,469.48,39,4.49,65.26
Quebec,591.18,377.14,49,4.94,66.11
South Carolina,586.37,388.93,40,3.88,65.47
Louisiana,518.01,342.65,41,3.88,65.58
Alberta,515.92,316.30,25,4.52,66.40
New Mexico,502.71,335.17,37,5.03,66.41
Nebraska,472.73,320.39,37,4.22,67.46
New Hampshire,428.27,264.53,27,4.59,62.21
Iowa,400.37,269.97,30,4.53,67.30
British Columbia,290.90,198.30,22,5.41,67.53
Kansas,255.68,174.32,23,4.35,67.89
Idaho,225.25,152.15,21,4.57,67.70
Montana,202.11,135.47,15,4.73,67.20
New Brunswick,172.72,118.72,8,4.88,68.34
Vermont,162.44,109.98,11,5.91,66.43
District of Columbia,142.25,95.85,10,5.00,67.15
South Dakota,133.37,91.77,10,4.90,68.92
Newfoundland and Labrador,133.20,92.50,5,5.40,69.44
Prince Edward Island,130.10,88.66,10,5.70,68.02
Manitoba,128.50,83.94,11,3.64,65.31
Maine,119.50,80.12,7,5.43,68.36
North Dakota,109.66,73.96,7,4.57,68.14
Nova Scotia,87.50,56.90,6,4.67,65.06
West Virginia,63.97,43.89,4,3.75,67.76
Saskatchewan,29.25,18.99,2,5.50,64.92
Wyoming,13.96,9.96,1,6.00,71.35
