State/Province,Count,Percentage
California,1937,19.60
New York,1092,11.05
Texas,952,9.63
Pennsylvania,570,5.77
Washington,494,5.00
Illinois,478,4.84
Ohio,449,4.54
Florida,368,3.72
Michigan,249,2.52
North Carolina,244,2.47
Virginia,218,2.21
Arizona,218,2.21
Tennessee,180,1.82
Georgia,178,1.80
Colorado,173,1.75
Indiana,144,1.46
Kentucky,134,1.36
Massachusetts,130,1.32
New Jersey,128,1.30
Oregon,120,1.21
Wisconsin,109,1.10
Maryland,100,1.01
Delaware,92,0.93
Minnesota,85,0.86
Connecticut,81,0.82
Oklahoma,65,0.66
Missouri,64,0.65
Alabama,60,0.61
Ontario,56,0.57
Arkansas,56,0.57
Rhode Island,55,0.56
Mississippi,52,0.53
Utah,52,0.53
Quebec,49,0.50
Louisiana,41,0.41
South Carolina,40,0.40
Nevada,39,0.39
Nebraska,37,0.37
New Mexico,37,0.37
Iowa,30,0.30
New Hampshire,27,0.27
Alberta,25,0.25
Kansas,23,0.23
British Columbia,22,0.22
Idaho,21,0.21
Montana,15,0.15
Vermont,11,0.11
Manitoba,11,0.11
South Dakota,10,0.10
Prince Edward Island,10,0.10
District of Columbia,10,0.10
New Brunswick,8,0.08
North Dakota,7,0.07
Maine,7,0.07
Nova Scotia,6,0.06
Newfoundland and Labrador,5,0.05
West Virginia,4,0.04
Saskatchewan,2,0.02
Wyoming,1,0.01
