State/Province,Total_Sales,Total_Profit,Avg_Lead_Time,Shipments
California,27183.18,17980.72,4.32,1937
New York,15164.88,9968.09,4.35,1092
Texas,13024.10,8643.08,4.44,952
Pennsylvania,7846.75,5103.51,4.48,570
Washington,6797.37,4482.86,4.42,494
Illinois,6763.71,4466.17,4.49,478
Ohio,6539.09,4257.49,3.93,449
Florida,4634.53,3093.12,4.30,368
Arizona,3519.54,2243.68,4.35,218
North Carolina,3392.21,2292.21,4.46,244
Michigan,3285.19,2204.88,4.45,249
Virginia,3085.34,2020.02,4.20,218
Georgia,2626.47,1705.27,4.40,178
Colorado,2421.37,1612.31,4.02,173
Tennessee,2344.51,1546.37,4.85,180
Indiana,1953.08,1309.52,4.71,144
Wisconsin,1910.03,1212.11,4.80,109
Oregon,1858.35,1212.01,4.68,120
Kentucky,1829.15,1208.33,4.47,134
Massachusetts,1761.94,1149.94,4.52,130
New Jersey,1563.35,1007.96,4.77,128
Maryland,1392.84,941.10,4.30,100
Delaware,1296.89,844.05,4.59,92
Minnesota,1118.24,750.44,4.44,85
Alabama,984.31,614.61,4.53,60
Connecticut,973.37,648.83,3.84,81
Oklahoma,867.18,588.44,4.65,65
Missouri,862.28,581.58,4.14,64
Arkansas,851.52,560.78,4.50,56
Utah,845.61,548.71,4.63,52
Mississippi,829.18,548.14,4.77,52
Rhode Island,791.36,492.24,3.91,55
Nevada,759.46,469.48,4.49,39
South Carolina,586.37,388.93,3.88,40
Louisiana,518.01,342.65,3.88,41
New Mexico,502.71,335.17,5.03,37
Nebraska,472.73,320.39,4.22,37
New Hampshire,428.27,264.53,4.59,27
Iowa,400.37,269.97,4.53,30
Kansas,255.68,174.32,4.35,23
Idaho,225.25,152.15,4.57,21
Montana,202.11,135.47,4.73,15
Vermont,162.44,109.98,5.91,11
District of Columbia,142.25,95.85,5.00,10
South Dakota,133.37,91.77,4.90,10
Maine,119.50,80.12,5.43,7
North Dakota,109.66,73.96,4.57,7
West Virginia,63.97,43.89,3.75,4
Wyoming,13.96,9.96,6.00,1
