Product Name,Avg_Lead_Time,Median_Lead_Time,Max_Lead_Time,Min_Lead_Time,Count
Nerds,5.50,5.50,7,4,4
Everlasting Gobstopper,5.00,6.00,7,2,3
Fun Dip,4.67,5.00,5,4,3
SweeTARTS,4.50,4.00,6,3,10
Wonka Bar - Milk Chocolate,4.46,5.00,7,0,2074
Wonka Bar - Fudge Mallows,4.44,5.00,7,0,1771
Wonka Bar - Triple Dazzle Caramel,4.39,5.00,7,0,1944
Wonka Bar -Scrumdiddlyumptious,4.37,5.00,7,0,1994
Kazookles,4.36,4.00,7,0,96
Wonka Bar - Nutty Crunch Surprise,4.36,4.00,7,0,1748
Lickable Wallpaper,4.21,4.00,7,0,94
Wonka Gum,4.08,4.00,7,0,120
Fizzy Lifting Drinks,3.83,4.50,6,1,6
Laffy Taffy,3.80,4.00,6,1,10
Hair Toffee,3.50,3.50,7,0,4
