State/Province,Avg_Lead_Time,Median_Lead_Time,Max_Lead_Time,Min_Lead_Time,Count
Wyoming,6.00,6.00,6,6,1
Vermont,5.91,6.00,7,3,11
Prince Edward Island,5.70,6.00,7,4,10
Saskatchewan,5.50,5.50,7,4,2
Maine,5.43,6.00,7,4,7
British Columbia,5.41,5.00,7,3,22
Newfoundland and Labrador,5.40,6.00,7,4,5
New Mexico,5.03,5.00,7,1,37
District of Columbia,5.00,5.00,7,3,10
Ontario,4.98,5.00,7,1,56
Quebec,4.94,5.00,7,0,49
South Dakota,4.90,5.00,7,3,10
New Brunswick,4.88,5.00,7,4,8
Tennessee,4.85,5.00,7,0,180
Wisconsin,4.80,5.00,7,0,109
Mississippi,4.77,5.00,7,0,52
New Jersey,4.77,5.00,7,1,128
Montana,4.73,5.00,7,0,15
Indiana,4.71,5.00,7,0,144
Oregon,4.68,5.00,7,1,120
Nova Scotia,4.67,4.50,6,3,6
Oklahoma,4.65,5.00,7,0,65
Utah,4.63,5.00,7,0,52
Delaware,4.59,5.00,7,0,92
New Hampshire,4.59,5.00,7,3,27
North Dakota,4.57,5.00,7,3,7
Idaho,4.57,5.00,7,1,21
Iowa,4.53,4.00,7,0,30
Alabama,4.53,4.00,7,0,60
Alberta,4.52,4.00,7,3,25
Massachusetts,4.52,5.00,7,0,130
Arkansas,4.50,5.00,7,0,56
Nevada,4.49,5.00,7,0,39
Illinois,4.49,5.00,7,0,478
Pennsylvania,4.48,5.00,7,0,570
Kentucky,4.47,4.50,7,0,134
North Carolina,4.46,5.00,7,0,244
Michigan,4.45,5.00,7,0,249
Minnesota,4.44,4.00,7,0,85
Texas,4.44,5.00,7,0,952
Washington,4.42,5.00,7,0,494
Georgia,4.40,5.00,7,0,178
Arizona,4.35,5.00,7,0,218
Kansas,4.35,5.00,7,0,23
New York,4.35,5.00,7,0,1092
California,4.32,4.00,7,0,1937
Maryland,4.30,5.00,7,0,100
Florida,4.30,4.00,7,0,368
Nebraska,4.22,4.00,7,0,37
Virginia,4.20,4.00,7,0,218
Missouri,4.14,4.00,7,0,64
Colorado,4.02,4.00,7,0,173
Ohio,3.93,4.00,7,0,449
Rhode Island,3.91,4.00,7,1,55
Louisiana,3.88,4.00,7,0,41
South Carolina,3.88,4.00,7,0,40
Connecticut,3.84,4.00,7,0,81
West Virginia,3.75,4.50,5,1,4
Manitoba,3.64,4.00,7,1,11
