Product Name,Shipments,Total_Sales,Total_Profit,Total_Units,Avg_Lead_Time,Avg_Margin
Wonka Bar - Triple Dazzle Caramel,1944,27648.75,18063.85,7373,4.39,65.33
Wonka Bar -Scrumdiddlyumptious,1994,27028.80,18770.00,7508,4.37,69.44
Wonka Bar - Milk Chocolate,2074,26256.75,17046.69,8079,4.46,64.92
Wonka Bar - Fudge Mallows,1771,24361.20,16240.80,6767,4.44,66.67
Wonka Bar - Nutty Crunch Surprise,1748,22897.89,16336.89,6561,4.36,71.35
Lickable Wallpaper,94,7860.00,3930.00,393,4.21,50.00
Kazookles,96,1205.75,92.75,371,4.36,7.69
Wonka Gum,120,597.50,310.70,478,4.08,52.00
Everlasting Gobstopper,3,130.00,104.00,13,5.00,80.00
Fizzy Lifting Drinks,6,78.75,47.25,21,3.83,60.00
Hair Toffee,4,76.50,59.50,17,3.50,77.78
SweeTARTS,10,61.50,28.70,41,4.50,46.67
Laffy Taffy,10,53.73,33.48,27,3.80,62.31
Nerds,4,15.00,7.00,10,5.50,46.67
Fun Dip,3,12.00,4.80,8,4.67,40.00
