Region,Column,Lower Fence,Upper Fence,Total Records,Outlier Count,Outlier %
Pacific,Gross Profit,-6.12,23.27,3156,81,2.57
Atlantic,Gross Profit,-6.12,23.27,2890,65,2.25
Gulf,Gross Profit,-6.12,23.27,1571,31,1.97
Interior,Gross Profit,-6.12,23.27,2264,40,1.77
Pacific,Sales,-9.00,34.20,3156,92,2.92
Atlantic,Sales,-9.00,34.20,2890,75,2.60
Gulf,Sales,-9.00,34.20,1571,36,2.29
Interior,Sales,-9.00,34.20,2264,42,1.86
Atlantic,Shipping Lead Time (Simulated),-1.50,10.50,2890,0,0.00
Gulf,Shipping Lead Time (Simulated),-1.50,10.50,1571,0,0.00
Interior,Shipping Lead Time (Simulated),-1.50,10.50,2264,0,0.00
Pacific,Shipping Lead Time (Simulated),-1.50,10.50,3156,0,0.00
