Region,Metric,Mean,Median,Std Dev,Variance,Min,Max,Q1,Q3,IQR
Atlantic,Sales,13.89,10.80,12.10,146.39,1.25,260.00,7.20,18.00,10.80
Atlantic,Gross Profit,9.09,7.47,6.97,48.58,0.25,130.00,4.90,12.25,7.35
Atlantic,Shipping Lead Time (Simulated),4.36,5.00,1.88,3.52,0.00,7.00,3.00,6.00,3.00
Gulf,Sales,13.80,10.80,9.64,92.94,1.25,140.00,7.20,18.00,10.80
Gulf,Gross Profit,9.12,7.47,6.03,36.39,0.50,70.00,4.98,12.25,7.27
Gulf,Shipping Lead Time (Simulated),4.41,5.00,1.82,3.31,0.00,7.00,3.00,6.00,3.00
Interior,Sales,13.82,10.80,11.26,126.69,1.25,220.00,7.20,18.00,10.80
Interior,Gross Profit,9.17,7.47,6.57,43.17,0.50,110.00,4.98,12.25,7.27
Interior,Shipping Lead Time (Simulated),4.48,5.00,1.84,3.37,0.00,7.00,4.00,6.00,2.00
Pacific,Sales,14.31,10.80,11.87,140.83,1.25,200.00,7.20,18.00,10.80
Pacific,Gross Profit,9.42,7.47,6.89,47.49,0.25,100.00,4.98,12.30,7.32
Pacific,Shipping Lead Time (Simulated),4.37,5.00,1.85,3.42,0.00,7.00,3.00,6.00,3.00
