State/Province,Total_Shipments,Total_Sales,Total_Profit,Total_Units,Total_Cost,Avg_Lead_Time,Avg_Profit_Margin,On_Time_Rate_%,Moderate_Delay_%,Delay_Rate_%,Region,Excellent,Good,Average,Poor
California,1937,27183.18,17980.72,7459,9202.46,4.32,66.57,29.17,42.39,28.45,Pacific,16.68,34.07,35.88,13.37
New York,1092,15164.88,9968.09,4118,5196.79,4.35,66.31,27.56,44.32,28.11,Atlantic,16.48,32.23,37.91,13.37
Texas,952,13024.10,8643.08,3614,4381.02,4.44,66.62,25.84,44.54,29.62,Interior,15.13,33.09,36.66,15.13
Pennsylvania,570,7846.75,5103.51,2103,2743.24,4.48,66.13,26.84,41.23,31.93,Atlantic,15.79,31.40,34.56,18.25
Washington,494,6797.37,4482.86,1848,2314.51,4.42,66.49,27.94,40.28,31.78,Pacific,15.59,30.97,37.25,16.19
Illinois,478,6763.71,4466.17,1807,2297.54,4.49,66.97,25.10,42.47,32.43,Interior,15.27,32.64,34.73,17.36
Ohio,449,6539.09,4257.49,1694,2281.60,3.93,66.48,37.86,37.86,24.28,Atlantic,24.50,33.41,29.62,12.47
Florida,368,4634.53,3093.12,1332,1541.41,4.30,66.62,28.26,43.21,28.53,Gulf,16.85,33.97,35.33,13.86
Arizona,218,3519.54,2243.68,843,1275.86,4.35,66.55,28.44,39.45,32.11,Pacific,18.81,29.36,36.24,15.60
North Carolina,244,3392.21,2292.21,967,1100.00,4.46,67.39,27.87,38.11,34.02,Gulf,16.80,31.56,34.02,17.62
Michigan,249,3285.19,2204.88,933,1080.31,4.45,66.98,24.90,43.37,31.73,Interior,12.45,37.35,36.14,14.06
Virginia,218,3085.34,2020.02,867,1065.32,4.20,65.60,31.65,45.41,22.94,Gulf,17.43,36.24,36.70,9.63
Georgia,178,2626.47,1705.27,686,921.20,4.40,66.54,28.09,39.89,32.02,Gulf,17.42,31.46,32.02,19.10
Colorado,173,2421.37,1612.31,657,809.06,4.02,66.38,31.79,47.98,20.23,Pacific,21.97,36.99,33.53,7.51
Tennessee,180,2344.51,1546.37,670,798.14,4.85,66.20,15.56,48.89,35.56,Gulf,8.33,31.67,41.11,18.89
Indiana,144,1953.08,1309.52,564,643.56,4.71,66.86,17.36,48.61,34.03,Interior,9.03,38.89,33.33,18.75
Wisconsin,109,1910.03,1212.11,460,697.92,4.80,66.65,22.94,35.78,41.28,Interior,13.76,22.02,40.37,23.85
Oregon,120,1858.35,1212.01,482,646.34,4.68,66.60,24.17,43.33,32.50,Pacific,7.50,41.67,32.50,18.33
Kentucky,134,1829.15,1208.33,509,620.82,4.47,66.23,24.63,47.01,28.36,Gulf,8.96,41.04,38.81,11.19
Massachusetts,130,1761.94,1149.94,478,612.00,4.52,65.55,26.92,44.62,28.46,Atlantic,11.54,33.08,40.77,14.62
New Jersey,128,1563.35,1007.96,450,555.39,4.77,65.52,16.41,50.00,33.59,Atlantic,8.59,32.03,46.09,13.28
Maryland,100,1392.84,941.10,396,451.74,4.30,66.86,29.00,41.00,30.00,Atlantic,20.00,25.00,40.00,15.00
Delaware,92,1296.89,844.05,359,452.84,4.59,65.36,26.09,42.39,31.52,Atlantic,15.22,30.43,33.70,20.65
Minnesota,85,1118.24,750.44,319,367.80,4.44,66.99,17.65,55.29,27.06,Interior,11.76,40.00,36.47,11.76
Alabama,60,984.31,614.61,253,369.70,4.53,64.61,23.33,46.67,30.00,Gulf,10.00,41.67,31.67,16.67
Connecticut,81,973.37,648.83,279,324.54,3.84,65.79,41.98,34.57,23.46,Atlantic,25.93,32.10,30.86,11.11
Oklahoma,65,867.18,588.44,244,278.74,4.65,67.61,20.00,41.54,38.46,Interior,16.92,21.54,38.46,23.08
Missouri,64,862.28,581.58,246,280.70,4.14,66.82,34.38,50.00,15.62,Interior,12.50,42.19,32.81,12.50
Arkansas,56,851.52,560.78,228,290.74,4.50,66.54,21.43,55.36,23.21,Gulf,8.93,35.71,46.43,8.93
Utah,52,845.61,548.71,216,296.90,4.63,66.74,25.00,38.46,36.54,Pacific,11.54,28.85,44.23,15.38
Mississippi,52,829.18,548.14,217,281.04,4.77,67.29,19.23,42.31,38.46,Gulf,11.54,21.15,53.85,13.46
Ontario,56,791.82,527.80,227,264.02,4.98,66.75,12.50,48.21,39.29,Atlantic,5.36,37.50,35.71,21.43
Rhode Island,55,791.36,492.24,195,299.12,3.91,64.99,38.18,50.91,10.91,Atlantic,18.18,43.64,34.55,3.64
Nevada,39,759.46,469.48,168,289.98,4.49,65.26,25.64,41.03,33.33,Pacific,12.82,30.77,43.59,12.82
Quebec,49,591.18,377.14,148,214.04,4.94,66.11,12.24,46.94,40.82,Atlantic,12.24,20.41,42.86,24.49
South Carolina,40,586.37,388.93,168,197.44,3.88,65.47,32.50,55.00,12.50,Gulf,12.50,55.00,30.00,2.50
Louisiana,41,518.01,342.65,154,175.36,3.88,65.58,39.02,36.59,24.39,Gulf,24.39,39.02,26.83,9.76
Alberta,25,515.92,316.30,106,199.62,4.52,66.40,32.00,44.00,24.00,Pacific,0.00,56.00,28.00,16.00
New Mexico,37,502.71,335.17,151,167.54,5.03,66.41,8.11,59.46,32.43,Pacific,5.41,24.32,54.05,16.22
Nebraska,37,472.73,320.39,133,152.34,4.22,67.46,29.73,43.24,27.03,Interior,16.22,43.24,21.62,18.92
New Hampshire,27,428.27,264.53,127,163.74,4.59,62.21,18.52,62.96,18.52,Atlantic,0.00,44.44,51.85,3.70
Iowa,30,400.37,269.97,112,130.40,4.53,67.30,13.33,60.00,26.67,Interior,6.67,50.00,33.33,10.00
British Columbia,22,290.90,198.30,81,92.60,5.41,67.53,4.55,50.00,45.45,Pacific,0.00,27.27,45.45,27.27
Kansas,23,255.68,174.32,72,81.36,4.35,67.89,30.43,39.13,30.43,Interior,26.09,8.70,43.48,21.74
Idaho,21,225.25,152.15,64,73.10,4.57,67.70,23.81,47.62,28.57,Pacific,14.29,33.33,33.33,19.05
Montana,15,202.11,135.47,56,66.64,4.73,67.20,13.33,53.33,33.33,Pacific,13.33,6.67,73.33,6.67
New Brunswick,8,172.72,118.72,48,54.00,4.88,68.34,0.00,87.50,12.50,Atlantic,0.00,37.50,50.00,12.50
Vermont,11,162.44,109.98,50,52.46,5.91,66.43,9.09,18.18,72.73,Atlantic,0.00,9.09,54.55,36.36
District of Columbia,10,142.25,95.85,40,46.40,5.00,67.15,10.00,50.00,40.00,Atlantic,0.00,40.00,50.00,10.00
South Dakota,10,133.37,91.77,37,41.60,4.90,68.92,20.00,40.00,40.00,Interior,0.00,40.00,50.00,10.00
Newfoundland and Labrador,5,133.20,92.50,37,40.70,5.40,69.44,0.00,40.00,60.00,Atlantic,0.00,40.00,40.00,20.00
Prince Edward Island,10,130.10,88.66,38,41.44,5.70,68.02,0.00,40.00,60.00,Atlantic,0.00,20.00,50.00,30.00
Manitoba,11,128.50,83.94,37,44.56,3.64,65.31,36.36,54.55,9.09,Interior,36.36,27.27,27.27,9.09
Maine,7,119.50,80.12,33,39.38,5.43,68.36,0.00,42.86,57.14,Atlantic,0.00,42.86,28.57,28.57
North Dakota,7,109.66,73.96,30,35.70,4.57,68.14,28.57,57.14,14.29,Interior,0.00,42.86,42.86,14.29
Nova Scotia,6,87.50,56.90,26,30.60,4.67,65.06,16.67,50.00,33.33,Atlantic,0.00,50.00,50.00,0.00
West Virginia,4,63.97,43.89,18,20.08,3.75,67.76,25.00,75.00,0.00,Atlantic,25.00,25.00,50.00,0.00
Saskatchewan,2,29.25,18.99,9,10.26,5.50,64.92,0.00,50.00,50.00,Pacific,0.00,50.00,0.00,50.00
Wyoming,1,13.96,9.96,4,4.00,6.00,71.35,0.00,0.00,100.00,Pacific,0.00,0.00,100.00,0.00
