State/Province,Delayed,Moderate Delay,On Time,On Time %,Moderate Delay %,Delayed %
California,551,821,565,29.17,42.39,28.45
New York,307,484,301,27.56,44.32,28.11
Texas,282,424,246,25.84,44.54,29.62
Pennsylvania,182,235,153,26.84,41.23,31.93
Washington,157,199,138,27.94,40.28,31.78
Illinois,155,203,120,25.10,42.47,32.43
Ohio,109,170,170,37.86,37.86,24.28
Florida,105,159,104,28.26,43.21,28.53
North Carolina,83,93,68,27.87,38.11,34.02
Michigan,79,108,62,24.90,43.37,31.73
Arizona,70,86,62,28.44,39.45,32.11
Tennessee,64,88,28,15.56,48.89,35.56
Georgia,57,71,50,28.09,39.89,32.02
Virginia,50,99,69,31.65,45.41,22.94
Indiana,49,70,25,17.36,48.61,34.03
Wisconsin,45,39,25,22.94,35.78,41.28
New Jersey,43,64,21,16.41,50.00,33.59
Oregon,39,52,29,24.17,43.33,32.50
Kentucky,38,63,33,24.63,47.01,28.36
Massachusetts,37,58,35,26.92,44.62,28.46
Colorado,35,83,55,31.79,47.98,20.23
Maryland,30,41,29,29.00,41.00,30.00
Delaware,29,39,24,26.09,42.39,31.52
Oklahoma,25,27,13,20.00,41.54,38.46
Minnesota,23,47,15,17.65,55.29,27.06
Ontario,22,27,7,12.50,48.21,39.29
Mississippi,20,22,10,19.23,42.31,38.46
Quebec,20,23,6,12.24,46.94,40.82
Connecticut,19,28,34,41.98,34.57,23.46
Utah,19,20,13,25.00,38.46,36.54
Alabama,18,28,14,23.33,46.67,30.00
Arkansas,13,31,12,21.43,55.36,23.21
Nevada,13,16,10,25.64,41.03,33.33
New Mexico,12,22,3,8.11,59.46,32.43
Nebraska,10,16,11,29.73,43.24,27.03
Missouri,10,32,22,34.38,50.00,15.62
British Columbia,10,11,1,4.55,50.00,45.45
Louisiana,10,15,16,39.02,36.59,24.39
Vermont,8,2,1,9.09,18.18,72.73
Iowa,8,18,4,13.33,60.00,26.67
Kansas,7,9,7,30.43,39.13,30.43
Alberta,6,11,8,32.00,44.00,24.00
Idaho,6,10,5,23.81,47.62,28.57
Rhode Island,6,28,21,38.18,50.91,10.91
Prince Edward Island,6,4,0,0.00,40.00,60.00
New Hampshire,5,17,5,18.52,62.96,18.52
Montana,5,8,2,13.33,53.33,33.33
South Carolina,5,22,13,32.50,55.00,12.50
South Dakota,4,4,2,20.00,40.00,40.00
District of Columbia,4,5,1,10.00,50.00,40.00
Maine,4,3,0,0.00,42.86,57.14
Newfoundland and Labrador,3,2,0,0.00,40.00,60.00
Nova Scotia,2,3,1,16.67,50.00,33.33
Manitoba,1,6,4,36.36,54.55,9.09
New Brunswick,1,7,0,0.00,87.50,12.50
North Dakota,1,4,2,28.57,57.14,14.29
Saskatchewan,1,1,0,0.00,50.00,50.00
Wyoming,1,0,0,0.00,0.00,100.00
West Virginia,0,3,1,25.00,75.00,0.00
