State/Province,Column,Lower Fence,Upper Fence,Total Records,Outlier Count,Outlier %
Maine,Gross Profit,-6.12,23.27,7,1,14.29
North Dakota,Gross Profit,-6.12,23.27,7,1,14.29
Vermont,Gross Profit,-6.12,23.27,11,1,9.09
Alberta,Gross Profit,-6.12,23.27,25,2,8.00
Nevada,Gross Profit,-6.12,23.27,39,2,5.13
Oregon,Gross Profit,-6.12,23.27,120,6,5.00
Arizona,Gross Profit,-6.12,23.27,218,9,4.13
Mississippi,Gross Profit,-6.12,23.27,52,2,3.85
Utah,Gross Profit,-6.12,23.27,52,2,3.85
Wisconsin,Gross Profit,-6.12,23.27,109,4,3.67
Alabama,Gross Profit,-6.12,23.27,60,2,3.33
Iowa,Gross Profit,-6.12,23.27,30,1,3.33
Washington,Gross Profit,-6.12,23.27,494,15,3.04
Kentucky,Gross Profit,-6.12,23.27,134,4,2.99
New York,Gross Profit,-6.12,23.27,1092,32,2.93
North Carolina,Gross Profit,-6.12,23.27,244,7,2.87
Georgia,Gross Profit,-6.12,23.27,178,5,2.81
Virginia,Gross Profit,-6.12,23.27,218,6,2.75
Nebraska,Gross Profit,-6.12,23.27,37,1,2.70
Ohio,Gross Profit,-6.12,23.27,449,12,2.67
Minnesota,Gross Profit,-6.12,23.27,85,2,2.35
Massachusetts,Gross Profit,-6.12,23.27,130,3,2.31
California,Gross Profit,-6.12,23.27,1937,42,2.17
Quebec,Gross Profit,-6.12,23.27,49,1,2.04
Pennsylvania,Gross Profit,-6.12,23.27,570,11,1.93
Illinois,Gross Profit,-6.12,23.27,478,9,1.88
Rhode Island,Gross Profit,-6.12,23.27,55,1,1.82
Arkansas,Gross Profit,-6.12,23.27,56,1,1.79
Ontario,Gross Profit,-6.12,23.27,56,1,1.79
Colorado,Gross Profit,-6.12,23.27,173,3,1.73
Michigan,Gross Profit,-6.12,23.27,249,4,1.61
Missouri,Gross Profit,-6.12,23.27,64,1,1.56
Oklahoma,Gross Profit,-6.12,23.27,65,1,1.54
Texas,Gross Profit,-6.12,23.27,952,14,1.47
