State/Province,Excellent,Good,Average,Poor
Alabama,10.00,41.67,31.67,16.67
Alberta,0.00,56.00,28.00,16.00
Arizona,18.81,29.36,36.24,15.60
Arkansas,8.93,35.71,46.43,8.93
British Columbia,0.00,27.27,45.45,27.27
California,16.68,34.07,35.88,13.37
Colorado,21.97,36.99,33.53,7.51
Connecticut,25.93,32.10,30.86,11.11
Delaware,15.22,30.43,33.70,20.65
District of Columbia,0.00,40.00,50.00,10.00
Florida,16.85,33.97,35.33,13.86
Georgia,17.42,31.46,32.02,19.10
Idaho,14.29,33.33,33.33,19.05
Illinois,15.27,32.64,34.73,17.36
Indiana,9.03,38.89,33.33,18.75
Iowa,6.67,50.00,33.33,10.00
Kansas,26.09,8.70,43.48,21.74
Kentucky,8.96,41.04,38.81,11.19
Louisiana,24.39,39.02,26.83,9.76
Maine,0.00,42.86,28.57,28.57
Manitoba,36.36,27.27,27.27,9.09
Maryland,20.00,25.00,40.00,15.00
Massachusetts,11.54,33.08,40.77,14.62
Michigan,12.45,37.35,36.14,14.06
Minnesota,11.76,40.00,36.47,11.76
Mississippi,11.54,21.15,53.85,13.46
Missouri,12.50,42.19,32.81,12.50
Montana,13.33,6.67,73.33,6.67
Nebraska,16.22,43.24,21.62,18.92
Nevada,12.82,30.77,43.59,12.82
New Brunswick,0.00,37.50,50.00,12.50
New Hampshire,0.00,44.44,51.85,3.70
New Jersey,8.59,32.03,46.09,13.28
New Mexico,5.41,24.32,54.05,16.22
New York,16.48,32.23,37.91,13.37
Newfoundland and Labrador,0.00,40.00,40.00,20.00
North Carolina,16.80,31.56,34.02,17.62
North Dakota,0.00,42.86,42.86,14.29
Nova Scotia,0.00,50.00,50.00,0.00
Ohio,24.50,33.41,29.62,12.47
Oklahoma,16.92,21.54,38.46,23.08
Ontario,5.36,37.50,35.71,21.43
Oregon,7.50,41.67,32.50,18.33
Pennsylvania,15.79,31.40,34.56,18.25
Prince Edward Island,0.00,20.00,50.00,30.00
Quebec,12.24,20.41,42.86,24.49
Rhode Island,18.18,43.64,34.55,3.64
Saskatchewan,0.00,50.00,0.00,50.00
South Carolina,12.50,55.00,30.00,2.50
South Dakota,0.00,40.00,50.00,10.00
Tennessee,8.33,31.67,41.11,18.89
Texas,15.13,33.09,36.66,15.13
Utah,11.54,28.85,44.23,15.38
Vermont,0.00,9.09,54.55,36.36
Virginia,17.43,36.24,36.70,9.63
Washington,15.59,30.97,37.25,16.19
West Virginia,25.00,25.00,50.00,0.00
Wisconsin,13.76,22.02,40.37,23.85
Wyoming,0.00,0.00,100.00,0.00
