State/Province,Metric,Mean,Median,Std Dev,Variance,Min,Max,Q1,Q3,IQR
Alabama,Sales,16.41,12.12,14.52,210.97,3.49,100.00,7.20,22.50,15.30
Alabama,Gross Profit,10.24,7.47,8.12,65.88,1.00,50.00,4.88,13.17,8.29
Alabama,Shipping Lead Time (Simulated),4.53,4.00,1.72,2.96,0.00,7.00,4.00,6.00,2.00
Alberta,Sales,20.64,14.40,22.02,484.72,3.60,100.00,13.00,18.00,5.00
Alberta,Gross Profit,12.65,10.00,10.66,113.63,2.50,50.00,8.44,12.00,3.56
Alberta,Shipping Lead Time (Simulated),4.52,4.00,1.45,2.09,3.00,7.00,3.00,5.00,2.00
Arizona,Sales,16.14,11.25,19.31,372.79,3.25,160.00,7.20,18.75,11.55
Arizona,Gross Profit,10.29,7.50,10.00,100.03,1.25,80.00,4.90,12.50,7.60
Arizona,Shipping Lead Time (Simulated),4.35,5.00,1.98,3.91,0.00,7.00,3.00,6.00,3.00
Arkansas,Sales,15.21,13.00,9.53,90.84,3.60,60.00,7.50,18.19,10.69
Arkansas,Gross Profit,10.01,8.44,5.65,31.89,1.95,30.00,5.00,12.45,7.45
Arkansas,Shipping Lead Time (Simulated),4.50,5.00,1.54,2.36,0.00,7.00,4.00,5.00,1.00
British Columbia,Sales,13.22,12.82,8.41,70.68,3.60,28.80,3.75,18.56,14.81
British Columbia,Gross Profit,9.01,8.48,5.87,34.46,2.40,20.00,2.45,12.19,9.74
British Columbia,Shipping Lead Time (Simulated),5.41,5.00,1.26,1.59,3.00,7.00,4.25,6.75,2.50
California,Sales,14.03,10.80,10.46,109.49,1.25,140.00,7.20,18.00,10.80
California,Gross Profit,9.28,7.47,6.34,40.24,0.25,70.00,4.98,12.25,7.27
California,Shipping Lead Time (Simulated),4.32,4.00,1.85,3.41,0.00,7.00,3.00,6.00,3.00
Colorado,Sales,14.00,10.80,9.56,91.34,2.50,60.00,7.20,18.00,10.80
Colorado,Gross Profit,9.32,7.47,6.44,41.53,0.50,48.00,4.98,12.50,7.52
Colorado,Shipping Lead Time (Simulated),4.02,4.00,1.75,3.05,0.00,7.00,3.00,5.00,2.00
Connecticut,Sales,12.02,10.80,7.57,57.28,2.50,35.75,6.98,16.25,9.27
Connecticut,Gross Profit,8.01,7.20,5.14,26.42,0.25,23.21,4.80,10.55,5.75
Connecticut,Shipping Lead Time (Simulated),3.84,4.00,2.07,4.29,0.00,7.00,2.00,5.00,3.00
Delaware,Sales,14.10,11.25,8.55,73.17,3.25,60.00,7.50,18.94,11.44
Delaware,Gross Profit,9.17,7.50,5.35,28.60,0.50,30.00,5.00,12.46,7.47
Delaware,Shipping Lead Time (Simulated),4.59,5.00,1.81,3.28,0.00,7.00,3.00,6.00,3.00
District of Columbia,Sales,14.22,10.80,8.77,76.98,6.50,28.80,7.84,18.90,11.06
District of Columbia,Gross Profit,9.59,7.20,5.99,35.90,4.22,20.00,5.33,12.68,7.34
District of Columbia,Shipping Lead Time (Simulated),5.00,5.00,1.25,1.56,3.00,7.00,4.00,6.00,2.00
Florida,Sales,12.59,10.80,7.30,53.36,2.50,46.80,7.20,17.45,10.25
Florida,Gross Profit,8.41,7.35,5.02,25.24,0.75,32.50,4.90,12.00,7.10
Florida,Shipping Lead Time (Simulated),4.30,4.00,1.91,3.64,0.00,7.00,3.00,6.00,3.00
Georgia,Sales,14.76,10.80,14.11,199.15,1.25,140.00,7.50,18.00,10.50
Georgia,Gross Profit,9.58,7.47,7.79,60.73,0.65,70.00,5.00,12.25,7.25
Georgia,Shipping Lead Time (Simulated),4.40,5.00,2.00,4.00,0.00,7.00,3.00,6.00,3.00
Idaho,Sales,10.73,10.80,3.49,12.21,3.49,16.25,9.75,14.40,4.65
Idaho,Gross Profit,7.25,7.47,2.33,5.44,2.40,10.55,6.33,9.60,3.27
Idaho,Shipping Lead Time (Simulated),4.57,5.00,1.75,3.06,1.00,7.00,4.00,6.00,2.00
Illinois,Sales,14.15,10.80,12.08,145.91,2.50,180.00,7.20,18.00,10.80
Illinois,Gross Profit,9.34,7.47,6.82,46.57,1.30,90.00,4.98,12.25,7.27
Illinois,Shipping Lead Time (Simulated),4.49,5.00,1.88,3.52,0.00,7.00,3.25,6.00,2.75
Indiana,Sales,13.56,11.25,7.95,63.15,3.25,39.60,7.20,18.75,11.55
Indiana,Gross Profit,9.09,7.47,5.48,29.98,1.50,27.50,4.90,12.46,7.56
Indiana,Shipping Lead Time (Simulated),4.71,5.00,1.69,2.85,0.00,7.00,4.00,6.00,2.00
Iowa,Sales,13.35,11.25,8.22,67.58,3.25,37.50,7.04,17.45,10.41
Iowa,Gross Profit,9.00,7.48,5.54,30.67,2.11,24.50,4.84,12.34,7.49
Iowa,Shipping Lead Time (Simulated),4.53,4.00,1.50,2.26,0.00,7.00,4.00,5.75,1.75
Kansas,Sales,11.12,10.47,5.44,29.63,3.25,20.94,7.35,17.73,10.38
Kansas,Gross Profit,7.58,7.20,3.79,14.34,2.11,14.94,4.90,12.00,7.10
Kansas,Shipping Lead Time (Simulated),4.35,5.00,2.29,5.24,0.00,7.00,2.50,6.00,3.50
Kentucky,Sales,13.65,10.80,9.14,83.57,3.25,48.86,7.20,16.25,9.05
Kentucky,Gross Profit,9.02,7.47,6.18,38.23,0.75,34.86,4.90,10.55,5.65
Kentucky,Shipping Lead Time (Simulated),4.47,4.50,1.65,2.73,0.00,7.00,4.00,6.00,2.00
Louisiana,Sales,12.63,10.47,7.33,53.72,3.49,35.75,7.20,17.45,10.25
Louisiana,Gross Profit,8.36,7.35,5.05,25.47,0.75,23.21,4.80,12.00,7.20
Louisiana,Shipping Lead Time (Simulated),3.88,4.00,1.95,3.81,0.00,7.00,3.00,5.00,2.00
Maine,Sales,17.07,7.20,16.79,281.76,6.50,48.75,7.09,21.43,14.34
Maine,Gross Profit,11.45,5.00,10.90,118.73,4.22,31.85,4.99,14.54,9.54
Maine,Shipping Lead Time (Simulated),5.43,6.00,1.40,1.95,4.00,7.00,4.00,6.50,2.50
Manitoba,Sales,11.68,9.75,9.47,89.66,3.25,33.75,5.05,14.70,9.65
Manitoba,Gross Profit,7.63,6.33,6.18,38.24,2.11,22.05,3.31,9.70,6.39
Manitoba,Shipping Lead Time (Simulated),3.64,4.00,1.91,3.65,1.00,7.00,2.00,5.00,3.00
Maryland,Sales,13.93,11.25,8.25,68.05,2.50,34.90,7.42,18.75,11.32
Maryland,Gross Profit,9.41,7.47,5.63,31.74,0.25,24.90,5.00,12.30,7.30
Maryland,Shipping Lead Time (Simulated),4.30,5.00,2.05,4.19,0.00,7.00,3.00,6.00,3.00
Massachusetts,Sales,13.55,10.80,9.52,90.68,3.25,80.00,7.20,18.00,10.80
Massachusetts,Gross Profit,8.85,7.35,5.90,34.80,0.75,40.00,4.90,12.00,7.10
Massachusetts,Shipping Lead Time (Simulated),4.52,5.00,1.73,2.98,0.00,7.00,3.00,6.00,3.00
Michigan,Sales,13.19,10.80,8.47,71.81,1.25,60.00,7.20,17.45,10.25
Michigan,Gross Profit,8.85,7.47,5.59,31.28,0.65,31.20,4.90,12.00,7.10
Michigan,Shipping Lead Time (Simulated),4.45,5.00,1.84,3.39,0.00,7.00,4.00,6.00,2.00
Minnesota,Sales,13.16,10.80,7.33,53.75,3.49,37.50,7.20,17.45,10.25
Minnesota,Gross Profit,8.83,7.47,4.93,24.32,2.40,24.50,4.90,12.25,7.35
Minnesota,Shipping Lead Time (Simulated),4.44,4.00,1.74,3.03,0.00,7.00,4.00,6.00,2.00
Mississippi,Sales,15.95,13.48,12.46,155.13,3.60,80.00,9.75,19.50,9.75
Mississippi,Gross Profit,10.54,9.12,7.24,52.48,2.40,40.00,6.33,12.66,6.33
Mississippi,Shipping Lead Time (Simulated),4.77,5.00,1.78,3.16,0.00,7.00,4.00,6.00,2.00
Missouri,Sales,13.47,10.80,7.42,55.02,3.25,36.00,7.20,17.59,10.39
Missouri,Gross Profit,9.09,7.47,5.17,26.77,0.50,25.00,5.00,12.45,7.45
Missouri,Shipping Lead Time (Simulated),4.14,4.00,1.72,2.95,0.00,7.00,3.00,5.00,2.00
Montana,Sales,13.47,10.80,6.80,46.19,6.98,26.25,7.35,18.75,11.40
Montana,Gross Profit,9.03,7.50,4.55,20.66,4.80,17.43,4.94,12.25,7.31
Montana,Shipping Lead Time (Simulated),4.73,5.00,1.87,3.50,0.00,7.00,5.00,6.00,1.00
Nebraska,Sales,12.78,10.47,8.80,77.46,2.50,52.50,7.50,17.45,9.95
Nebraska,Gross Profit,8.66,7.47,5.86,34.32,1.30,34.30,4.90,12.00,7.10
Nebraska,Shipping Lead Time (Simulated),4.22,4.00,2.00,4.01,0.00,7.00,3.00,6.00,3.00
Nevada,Sales,19.47,13.00,30.85,951.84,2.50,200.00,7.35,20.18,12.83
Nevada,Gross Profit,12.04,8.44,15.65,244.94,1.25,100.00,5.00,13.45,8.45
Nevada,Shipping Lead Time (Simulated),4.49,5.00,1.88,3.52,0.00,7.00,3.50,6.00,2.50
New Brunswick,Sales,21.59,21.59,3.04,9.22,18.75,24.43,18.75,24.43,5.68
New Brunswick,Gross Profit,14.84,14.84,2.77,7.67,12.25,17.43,12.25,17.43,5.18
New Brunswick,Shipping Lead Time (Simulated),4.88,5.00,0.99,0.98,4.00,7.00,4.00,5.00,1.00
New Hampshire,Sales,15.86,14.40,8.03,64.55,3.60,33.75,10.47,20.55,10.08
New Hampshire,Gross Profit,9.80,8.44,5.86,34.28,1.00,22.41,6.10,12.66,6.56
New Hampshire,Shipping Lead Time (Simulated),4.59,5.00,1.08,1.17,3.00,7.00,4.00,5.00,1.00
New Jersey,Sales,12.21,10.80,6.53,42.59,2.50,32.40,7.20,16.55,9.35
New Jersey,Gross Profit,7.87,7.20,4.36,19.02,1.30,22.50,4.90,10.55,5.65
New Jersey,Shipping Lead Time (Simulated),4.77,5.00,1.52,2.30,1.00,7.00,4.00,6.00,2.00
New Mexico,Sales,13.59,11.25,8.04,64.72,3.25,32.40,8.75,17.45,8.70
New Mexico,Gross Profit,9.06,7.50,5.49,30.15,1.95,22.41,5.00,12.00,7.00
New Mexico,Shipping Lead Time (Simulated),5.03,5.00,1.36,1.86,1.00,7.00,4.00,6.00,2.00
New York,Sales,13.89,10.80,11.01,121.28,1.25,120.00,7.20,18.00,10.80
New York,Gross Profit,9.13,7.41,6.62,43.79,0.25,60.00,4.90,12.25,7.35
New York,Shipping Lead Time (Simulated),4.35,5.00,1.85,3.44,0.00,7.00,3.00,6.00,3.00
Newfoundland and Labrador,Sales,26.64,28.80,4.83,23.33,18.00,28.80,28.80,28.80,0.00
