State/Province,Total_Shipments,Total_Sales,Total_Profit,Total_Units,Total_Cost,Avg_Lead_Time,Avg_Profit_Margin,On_Time_Rate_%,Moderate_Delay_%,Delay_Rate_%,Region
California,1937,27183.18,17980.72,7459,9202.46,4.32,66.57,29.17,42.39,28.45,Pacific
New York,1092,15164.88,9968.09,4118,5196.79,4.35,66.31,27.56,44.32,28.11,Atlantic
Texas,952,13024.10,8643.08,3614,4381.02,4.44,66.62,25.84,44.54,29.62,Interior
Pennsylvania,570,7846.75,5103.51,2103,2743.24,4.48,66.13,26.84,41.23,31.93,Atlantic
Washington,494,6797.37,4482.86,1848,2314.51,4.42,66.49,27.94,40.28,31.78,Pacific
Illinois,478,6763.71,4466.17,1807,2297.54,4.49,66.97,25.10,42.47,32.43,Interior
Ohio,449,6539.09,4257.49,1694,2281.60,3.93,66.48,37.86,37.86,24.28,Atlantic
Florida,368,4634.53,3093.12,1332,1541.41,4.30,66.62,28.26,43.21,28.53,Gulf
Arizona,218,3519.54,2243.68,843,1275.86,4.35,66.55,28.44,39.45,32.11,Pacific
North Carolina,244,3392.21,2292.21,967,1100.00,4.46,67.39,27.87,38.11,34.02,Gulf
Michigan,249,3285.19,2204.88,933,1080.31,4.45,66.98,24.90,43.37,31.73,Interior
Virginia,218,3085.34,2020.02,867,1065.32,4.20,65.60,31.65,45.41,22.94,Gulf
Georgia,178,2626.47,1705.27,686,921.20,4.40,66.54,28.09,39.89,32.02,Gulf
Colorado,173,2421.37,1612.31,657,809.06,4.02,66.38,31.79,47.98,20.23,Pacific
Tennessee,180,2344.51,1546.37,670,798.14,4.85,66.20,15.56,48.89,35.56,Gulf
Indiana,144,1953.08,1309.52,564,643.56,4.71,66.86,17.36,48.61,34.03,Interior
Wisconsin,109,1910.03,1212.11,460,697.92,4.80,66.65,22.94,35.78,41.28,Interior
Oregon,120,1858.35,1212.01,482,646.34,4.68,66.60,24.17,43.33,32.50,Pacific
Kentucky,134,1829.15,1208.33,509,620.82,4.47,66.23,24.63,47.01,28.36,Gulf
Massachusetts,130,1761.94,1149.94,478,612.00,4.52,65.55,26.92,44.62,28.46,Atlantic
New Jersey,128,1563.35,1007.96,450,555.39,4.77,65.52,16.41,50.00,33.59,Atlantic
Maryland,100,1392.84,941.10,396,451.74,4.30,66.86,29.00,41.00,30.00,Atlantic
Delaware,92,1296.89,844.05,359,452.84,4.59,65.36,26.09,42.39,31.52,Atlantic
Minnesota,85,1118.24,750.44,319,367.80,4.44,66.99,17.65,55.29,27.06,Interior
Alabama,60,984.31,614.61,253,369.70,4.53,64.61,23.33,46.67,30.00,Gulf
Connecticut,81,973.37,648.83,279,324.54,3.84,65.79,41.98,34.57,23.46,Atlantic
Oklahoma,65,867.18,588.44,244,278.74,4.65,67.61,20.00,41.54,38.46,Interior
Missouri,64,862.28,581.58,246,280.70,4.14,66.82,34.38,50.00,15.62,Interior
Arkansas,56,851.52,560.78,228,290.74,4.50,66.54,21.43,55.36,23.21,Gulf
Utah,52,845.61,548.71,216,296.90,4.63,66.74,25.00,38.46,36.54,Pacific
