YearMonth,Total_Sales,Total_Profit,Shipments,Avg_Lead_Time
2024-01,2032.62,1325.58,142,5.06
2024-02,1358.15,893.77,108,4.63
2024-03,4032.70,2600.42,291,4.38
2024-04,3889.54,2546.53,286,4.65
2024-05,3892.77,2576.17,276,4.37
2024-06,3404.26,2254.26,262,4.74
2024-07,3812.98,2528.98,278,4.30
2024-08,4349.79,2860.31,309,4.51
2024-09,7724.27,5078.05,554,4.45
2024-10,4714.13,3050.85,325,4.06
2024-11,8747.65,5829.35,630,4.59
2024-12,8618.04,5673.30,602,4.37
2025-01,3434.75,2292.44,252,4.68
2025-02,2503.69,1642.99,186,4.33
2025-03,5286.79,3493.03,401,4.18
2025-04,4810.54,3191.88,363,4.48
2025-05,6370.85,4205.57,457,4.41
2025-06,6034.83,4002.81,433,4.22
2025-07,5871.14,3857.26,421,4.42
2025-08,5556.85,3671.43,385,4.34
2025-09,11151.86,7291.71,801,4.33
2025-10,7227.70,4753.74,497,4.30
2025-11,11403.12,7528.02,798,4.28
2025-12,12055.10,7927.96,824,4.36
