Row ID,Order ID,Order Date,Simulated Ship Date,Customer ID,Country/Region,City,State/Province,Region,Postal Code,Division,Product ID,Product Name,Factory ID,Factory,Factory Latitude,Factory Longitude,Factory Location,Factory -> State Route,Factory -> Region Route,Route ID,Customer Location,Ship Mode,Shipping Lead Time,Shipping Lead Time (Simulated),Delay Status,Route Efficiency Score,Order Year,Order Quarter,Order Month Number,Order Month Name,Order Week Number,Order Day,Order Day Name,Ship Year,Ship Quarter,Ship Month Number,Ship Month Name,Ship Week Number,Ship Day,Ship Day Name,Sales,Units,Cost,Gross Profit,Sales Per Unit,Cost Per Unit,Profit Margin %,Ship Date Valid,Is US Record
1,US-2021-103800-CHO-MIL-31000,2024-01-03,2024-01-07,103800,United States,Houston,Texas,Interior,77095,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Texas,Wicked Choccy's -> Interior,R0190,"Houston, Texas",Standard Class,,4,Moderate Delay,Good,2024,1,1,January,1,3,Wednesday,2024,1,1,January,1,7,Sunday,6.5,2,2.28,4.22,3.25,1.14,64.92307692307692,False,True
2,US-2021-112326-CHO-TRI-54000,2024-01-04,2024-01-11,112326,United States,Naperville,Illinois,Interior,60540,Chocolate,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Illinois,Wicked Choccy's -> Interior,R0153,"Naperville, Illinois",Standard Class,,7,Delayed,Poor,2024,1,1,January,1,4,Thursday,2024,1,1,January,2,11,Thursday,7.5,2,2.6,4.9,3.75,1.3,65.33333333333334,False,True
3,US-2021-112326-CHO-NUT-13000,2024-01-04,2024-01-10,112326,United States,Naperville,Illinois,Interior,60540,Chocolate,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Illinois,Lot's O' Nuts -> Interior,R0014,"Naperville, Illinois",Standard Class,,6,Delayed,Average,2024,1,1,January,1,4,Thursday,2024,1,1,January,2,10,Wednesday,10.47,3,3.0,7.47,3.49,1.0,71.34670487106017,False,True
4,US-2021-112326-CHO-SCR-58000,2024-01-04,2024-01-09,112326,United States,Naperville,Illinois,Interior,60540,Chocolate,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Illinois,Lot's O' Nuts -> Interior,R0014,"Naperville, Illinois",Standard Class,,5,Moderate Delay,Average,2024,1,1,January,1,4,Thursday,2024,1,1,January,2,9,Tuesday,10.8,3,3.3,7.5,3.6,1.0999999999999999,69.44444444444444,False,True
5,US-2021-141817-CHO-TRI-54000,2024-01-05,2024-01-10,141817,United States,Philadelphia,Pennsylvania,Atlantic,19143,Chocolate,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Pennsylvania,Wicked Choccy's -> Atlantic,R0182,"Philadelphia, Pennsylvania",Standard Class,,5,Moderate Delay,Average,2024,1,1,January,1,5,Friday,2024,1,1,January,2,10,Wednesday,11.25,3,3.9,7.35,3.75,1.3,65.33333333333333,False,True
6,US-2021-167199-CHO-SCR-58000,2024-01-06,2024-01-13,167199,United States,Henderson,Kentucky,Gulf,42420,Chocolate,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Kentucky,Lot's O' Nuts -> Gulf,R0018,"Henderson, Kentucky",Standard Class,,7,Delayed,Poor,2024,1,1,January,1,6,Saturday,2024,1,1,January,2,13,Saturday,32.4,9,9.9,22.5,3.5999999999999996,1.1,69.44444444444444,False,True
7,US-2021-167199-CHO-TRI-54000,2024-01-06,2024-01-10,167199,United States,Henderson,Kentucky,Gulf,42420,Chocolate,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Kentucky,Wicked Choccy's -> Gulf,R0157,"Henderson, Kentucky",Standard Class,,4,Moderate Delay,Good,2024,1,1,January,1,6,Saturday,2024,1,1,January,2,10,Wednesday,7.5,2,2.6,4.9,3.75,1.3,65.33333333333334,False,True
8,US-2021-106054-CHO-MIL-31000,2024-01-06,2024-01-09,106054,United States,Athens,Georgia,Gulf,30605,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Georgia,Wicked Choccy's -> Gulf,R0151,"Athens, Georgia",First Class,,3,On Time,Good,2024,1,1,January,1,6,Saturday,2024,1,1,January,2,9,Tuesday,9.75,3,3.42,6.33,3.25,1.14,64.92307692307693,False,True
9,US-2021-167199-CHO-NUT-13000,2024-01-06,2024-01-10,167199,United States,Henderson,Kentucky,Gulf,42420,Chocolate,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Kentucky,Lot's O' Nuts -> Gulf,R0018,"Henderson, Kentucky",Standard Class,,4,Moderate Delay,Good,2024,1,1,January,1,6,Saturday,2024,1,1,January,2,10,Wednesday,6.98,2,2.0,4.98,3.49,1.0,71.34670487106017,False,True
10,US-2021-167199-CHO-MIL-31000,2024-01-06,2024-01-10,167199,United States,Henderson,Kentucky,Gulf,42420,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Kentucky,Wicked Choccy's -> Gulf,R0157,"Henderson, Kentucky",Standard Class,,4,Moderate Delay,Good,2024,1,1,January,1,6,Saturday,2024,1,1,January,2,10,Wednesday,13.0,4,4.56,8.44,3.25,1.14,64.92307692307692,False,True
