Factory -> State Route,Total Shipments,Total Sales,Total Units,Total Gross Profit,Total Cost,Average Shipping Lead Time (Simulated),Lead Time Variability (Std Dev),Average Profit Margin,Average Sales,Average Units
Lot's O' Nuts -> California,944,14607.93,4098,10095.93,4512.00,4.27,1.91,69.16,13.43,3.77
Wicked Choccy's -> California,689,11096.75,3181,7227.69,3869.06,4.39,1.76,65.13,13.94,4.00
Lot's O' Nuts -> New York,544,8540.41,2394,5904.11,2636.30,4.35,1.84,69.13,13.66,3.83
Lot's O' Nuts -> Texas,479,7399.85,2074,5109.35,2290.50,4.50,1.78,69.13,13.50,3.78
Wicked Choccy's -> New York,353,5359.50,1538,3490.66,1868.84,4.33,1.87,65.11,12.76,3.66
Wicked Choccy's -> Texas,326,4991.00,1436,3250.28,1740.72,4.39,1.87,65.11,13.27,3.82
Lot's O' Nuts -> Pennsylvania,270,4220.52,1183,2912.32,1308.20,4.56,1.84,69.06,13.15,3.69
Lot's O' Nuts -> Illinois,235,3464.71,974,2400.61,1064.10,4.54,1.80,69.34,13.33,3.75
Lot's O' Nuts -> Washington,230,3392.88,952,2347.58,1045.30,4.53,1.94,69.20,13.05,3.66
Lot's O' Nuts -> Ohio,218,3333.88,935,2303.98,1029.90,3.87,2.08,69.04,13.28,3.73
Wicked Choccy's -> Pennsylvania,188,2742.00,782,1786.36,955.64,4.39,1.92,65.14,12.46,3.55
Wicked Choccy's -> Washington,187,2999.25,853,1954.19,1045.06,4.31,1.95,65.13,13.76,3.91
Wicked Choccy's -> Illinois,183,2740.75,781,1785.61,955.14,4.49,1.97,65.13,13.50,3.85
Lot's O' Nuts -> Florida,176,2554.39,716,1761.39,793.00,4.23,1.86,69.06,12.65,3.54
Wicked Choccy's -> Ohio,157,2388.75,679,1556.45,832.30,3.98,1.99,65.14,13.27,3.77
Wicked Choccy's -> Florida,131,1925.50,554,1253.94,671.56,4.39,2.03,65.13,12.58,3.62
Lot's O' Nuts -> North Carolina,120,2013.21,565,1395.21,618.00,4.55,1.91,69.38,14.48,4.06
Lot's O' Nuts -> Michigan,118,2068.20,580,1426.20,642.00,4.30,1.93,69.04,14.46,4.06
Lot's O' Nuts -> Arizona,94,1425.29,399,983.19,442.10,4.27,1.96,69.18,13.32,3.73
Lot's O' Nuts -> Virginia,91,1502.84,421,1035.24,467.60,4.18,1.80,68.89,14.05,3.93
Wicked Choccy's -> North Carolina,91,1350.00,384,879.60,470.40,4.42,1.87,65.14,13.50,3.84
Lot's O' Nuts -> Georgia,88,1428.72,402,995.42,433.30,4.44,2.01,69.52,13.48,3.79
Wicked Choccy's -> Arizona,88,1404.25,399,914.99,489.26,4.52,1.98,65.14,13.63,3.87
Lot's O' Nuts -> Tennessee,88,1322.51,371,914.61,407.90,4.73,1.63,69.23,12.48,3.50
Wicked Choccy's -> Virginia,85,1433.50,414,933.38,500.12,4.26,1.63,65.10,14.05,4.06
Wicked Choccy's -> Michigan,83,1116.75,325,726.89,389.86,4.62,1.65,65.09,11.40,3.32
Lot's O' Nuts -> Colorado,82,1405.12,393,969.42,435.70,4.09,1.67,69.18,14.19,3.97
Lot's O' Nuts -> Indiana,74,1210.58,340,839.88,370.70,4.69,1.79,69.30,14.08,3.95
Lot's O' Nuts -> Kentucky,63,1032.15,289,710.75,321.40,4.54,1.62,68.92,13.58,3.80
Lot's O' Nuts -> Oregon,62,1039.10,292,720.30,318.80,4.68,1.62,69.48,14.04,3.95
Lot's O' Nuts -> Massachusetts,58,974.44,273,671.04,303.40,4.25,1.82,68.70,13.35,3.74
Wicked Choccy's -> Tennessee,56,915.75,265,596.21,319.54,5.10,1.62,65.09,13.67,3.96
Wicked Choccy's -> Georgia,55,841.25,243,547.75,293.50,4.33,2.07,65.12,13.35,3.86
Lot's O' Nuts -> New Jersey,53,825.88,231,567.98,257.90,4.83,1.47,69.02,12.71,3.55
Wicked Choccy's -> Colorado,49,825.50,238,537.54,287.96,4.06,1.84,65.11,12.70,3.66
Wicked Choccy's -> New Jersey,49,657.00,190,427.76,229.24,4.60,1.57,65.10,11.53,3.33
Wicked Choccy's -> Kentucky,45,724.75,205,472.33,252.42,4.54,1.62,65.17,13.42,3.80
Lot's O' Nuts -> Wisconsin,44,757.78,213,524.48,233.30,4.47,1.91,69.33,13.29,3.74
Wicked Choccy's -> Indiana,44,701.75,201,457.09,244.66,4.75,1.57,65.13,13.24,3.79
Lot's O' Nuts -> Maryland,44,770.09,217,538.09,232.00,4.37,1.96,69.82,13.51,3.81
Wicked Choccy's -> Massachusetts,43,655.00,190,426.40,228.60,4.90,1.46,65.07,12.60,3.65
Wicked Choccy's -> Wisconsin,42,737.25,215,479.83,257.42,5.15,1.91,65.08,15.69,4.57
Lot's O' Nuts -> Connecticut,40,516.39,145,357.29,159.10,3.74,2.03,69.16,11.23,3.15
Lot's O' Nuts -> Delaware,39,624.39,175,431.19,193.20,4.26,1.85,69.24,14.87,4.17
Wicked Choccy's -> Oregon,39,613.25,173,399.71,213.54,4.83,1.53,65.13,14.60,4.12
Lot's O' Nuts -> Minnesota,38,550.74,155,381.34,169.40,4.74,1.48,69.20,13.11,3.69
Wicked Choccy's -> Delaware,37,582.00,170,378.76,203.24,4.89,1.80,65.07,12.65,3.70
Wicked Choccy's -> Minnesota,36,562.50,160,366.50,196.00,4.17,1.95,65.13,13.39,3.81
Lot's O' Nuts -> Oklahoma,34,558.93,157,387.53,171.40,4.70,2.15,69.14,13.97,3.92
Wicked Choccy's -> Maryland,32,610.75,171,398.21,212.54,4.03,2.13,65.19,15.66,4.38
Secret Factory -> California,31,1238.75,106,620.55,618.20,4.16,1.92,51.03,39.96,3.42
Wicked Choccy's -> Connecticut,30,440.75,127,287.01,153.74,3.84,2.18,65.11,14.22,4.10
Lot's O' Nuts -> Missouri,30,503.28,142,351.58,151.70,4.17,1.81,69.89,14.38,4.06
Lot's O' Nuts -> Alabama,30,464.81,130,319.41,145.40,4.73,1.51,69.01,14.09,3.94
