State/Province,Shipments,Sales,Units,Gross Profit,Average Lead Time,Average Profit Margin
California,1686,27183.18,7459,17980.72,4.32,66.57
New York,942,15164.88,4118,9968.09,4.35,66.31
Texas,833,13024.10,3614,8643.08,4.44,66.62
Pennsylvania,487,7846.75,2103,5103.51,4.48,66.13
Illinois,433,6763.71,1807,4466.17,4.49,66.97
Washington,432,6797.37,1848,4482.86,4.42,66.49
Ohio,392,6539.09,1694,4257.49,3.93,66.48
Florida,319,4634.53,1332,3093.12,4.30,66.62
North Carolina,216,3392.21,967,2292.21,4.46,67.39
Michigan,209,3285.19,933,2204.88,4.45,66.98
Arizona,190,3519.54,843,2243.68,4.35,66.55
Virginia,185,3085.34,867,2020.02,4.20,65.60
Tennessee,151,2344.51,670,1546.37,4.85,66.20
Georgia,151,2626.47,686,1705.27,4.40,66.54
Colorado,140,2421.37,657,1612.31,4.02,66.38
Indiana,123,1953.08,564,1309.52,4.71,66.86
Kentucky,112,1829.15,509,1208.33,4.47,66.23
New Jersey,108,1563.35,450,1007.96,4.77,65.52
Massachusetts,106,1761.94,478,1149.94,4.52,65.55
Oregon,105,1858.35,482,1212.01,4.68,66.60
Wisconsin,91,1910.03,460,1212.11,4.80,66.65
Maryland,80,1392.84,396,941.10,4.30,66.86
Delaware,80,1296.89,359,844.05,4.59,65.36
Minnesota,75,1118.24,319,750.44,4.44,66.99
Connecticut,74,973.37,279,648.83,3.84,65.79
Oklahoma,56,867.18,244,588.44,4.65,67.61
Missouri,56,862.28,246,581.58,4.14,66.82
Alabama,53,984.31,253,614.61,4.53,64.61
Arkansas,48,851.52,228,560.78,4.50,66.54
Rhode Island,46,791.36,195,492.24,3.91,64.99
Utah,44,845.61,216,548.71,4.63,66.74
Mississippi,43,829.18,217,548.14,4.77,67.29
Ontario,41,791.82,227,527.80,4.98,66.75
Louisiana,38,518.01,154,342.65,3.88,65.58
Quebec,38,591.18,148,377.14,4.94,66.11
Nevada,36,759.46,168,469.48,4.49,65.26
South Carolina,34,586.37,168,388.93,3.88,65.47
New Mexico,34,502.71,151,335.17,5.03,66.41
Nebraska,33,472.73,133,320.39,4.22,67.46
New Hampshire,26,428.27,127,264.53,4.59,62.21
Iowa,26,400.37,112,269.97,4.53,67.30
Kansas,23,255.68,72,174.32,4.35,67.89
Alberta,22,515.92,106,316.30,4.52,66.40
British Columbia,22,290.90,81,198.30,5.41,67.53
Idaho,18,225.25,64,152.15,4.57,67.70
Montana,12,202.11,56,135.47,4.73,67.20
Vermont,10,162.44,50,109.98,5.91,66.43
South Dakota,8,133.37,37,91.77,4.90,68.92
Manitoba,8,128.50,37,83.94,3.64,65.31
District of Columbia,8,142.25,40,95.85,5.00,67.15
New Brunswick,8,172.72,48,118.72,4.88,68.34
Prince Edward Island,8,130.10,38,88.66,5.70,68.02
Maine,7,119.50,33,80.12,5.43,68.36
Nova Scotia,6,87.50,26,56.90,4.67,65.06
North Dakota,5,109.66,30,73.96,4.57,68.14
Newfoundland and Labrador,5,133.20,37,92.50,5.40,69.44
West Virginia,4,63.97,18,43.89,3.75,67.76
Saskatchewan,2,29.25,9,18.99,5.50,64.92
Wyoming,1,13.96,4,9.96,6.00,71.35
